|File|URL|
|----|---|
|2012-11-05-inflammation-research_s00011-021-01510-w.md|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8568567/|
|2017-08-01-biochimie_j.biochi.2017.07.016.md|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7116903/|
|2020-04-16-diabetes-and-metabolic-syndrome_j.dsx.2020.04.015.md|https://www.sciencedirect.com/science/article/pii/S1871402120300801|
|2020-06-06-international-journal-of-infectious-diseases_j.ijid.2020.06.006.md|https://www.sciencedirect.com/science/article/pii/S1201971220304410|
|2020-06-06-medical-hypotheses_j.mehy.2020.109957.md|https://www.sciencedirect.com/science/article/pii/S030698772031358X?via%3Dihub|
|2020-06-19-frontiers-in-immunology_fimmu.2020.01451.md|https://www.frontiersin.org/articles/10.3389/fimmu.2020.01451/full|
|2020-07-08-bmjopen_bmjopen-2020-039519.md|https://bmjopen.bmj.com/content/10/7/e039519.long|
|2020-07-19-bioimpacts_bi.2020.27.md|https://bi.tbzmed.ac.ir/FullHtml/bi-23240|
|2020-07-25-nutrition_j.nut.2020.110948.md|https://www.sciencedirect.com/science/article/pii/S0899900720302318|
|2020-08-13-antioxidants_antiox9080742.md|https://www.mdpi.com/2076-3921/9/8/742/htm|
|2020-08-16-nutrients_nu13082800.md|https://www.mdpi.com/2072-6643/13/8/2800/htm|
|2020-08-23-nutrients_nu12092550.md|https://www.mdpi.com/2072-6643/12/9/2550/htm|
|2020-08-28-international-journal-of-environment-research-and-public-health_ijerph17176265.md|https://www.mdpi.com/1660-4601/17/17/6265/htm|
|2020-08-29-the-journal-of-steroid-biochemistry-and-molecular-biology_j.jsbmb.2020.105751.md|https://www.sciencedirect.com/science/article/pii/S0960076020302764|
|2020-09-03-clinical-and-translational-science_cts.12881.md|https://ascpt.onlinelibrary.wiley.com/doi/full/10.1111/cts.12881|
|2020-09-08-nutrition_j.nut.2020.111017.md|https://www.sciencedirect.com/science/article/pii/S0899900720303002|
|2020-09-10-nutrients_nu12092757.md|https://www.mdpi.com/2072-6643/12/9/2757/htm|
|2020-09-15-journal-of-medical-microbiology_jmm.0.001250.md|https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.001250|
|2020-09-17-plos-one_journal.pone.0239252.md|https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0239252|
|2020-09-18-medicine-in-drug-discovery_j.medidd.2020.100064.md|https://www.sciencedirect.com/science/article/pii/S2590098620300518|
|2020-09-30-nature-immunology_s41590-020-00808-x.md|https://www.nature.com/articles/s41590-020-00808-x|
|2020-10-20-contemporary-clinical-trials_j.cct.2020.106176.md|https://www.sciencedirect.com/science/article/pii/S1551714420302548?via%3Dihub|
|2020-10-20-redox-biology_j.redox.2020.101764.md|https://www.sciencedirect.com/science/article/pii/S2213231720309691|
|2020-10-26-international-journal-of-antimicrobial-agents_j.ijantimicag.2020.106214.md|https://www.sciencedirect.com/science/article/pii/S0924857920304258|
|2020-11-04-science_science.abm0620-x.md|https://www.science.org/doi/10.1126/science.abm0620|
|2020-11-16-molecules_molecules25225346.md|https://www.mdpi.com/1420-3049/25/22/5346/htm|
|2020-11-30-international-journal-of-molecular-medicine_ijmm.2020.4802.md|https://www.spandidos-publications.com/10.3892/ijmm.2020.4802|
|2020-12-07-frontiers-in-nutrition_fnut.2020.606398.md|https://www.frontiersin.org/articles/10.3389/fnut.2020.606398/full|
|2020-12-15-international-journal-of-environment-research-and-public-health_ijerph17249419.md|https://www.mdpi.com/1660-4601/17/24/9419/htm|
|2020-12-23-frontiers-in-cardiovascular-medicine_fcvm.2020.616527.md|https://www.frontiersin.org/articles/10.3389/fcvm.2020.616527/full|
|2021- 08-04-journal-of-bodywork-and-movement-therapeutics_j.jbmt.2021.07.012.md|https://www.bodyworkmovementtherapies.com/article/S1360-8592(21)00167-4/fulltext|
|2021-01-04-international-journal-of-molecular-medicine_ijmm.2021.4844.md|https://www.spandidos-publications.com/ijmm/47/3/11|
|2021-01-06-irish-journal-of-medical-science_s11845-020-02452-8.md|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787599/|
|2021-01-07-risk-management-and-healthcare-policy_RMHP.S291584.md|https://www.dovepress.com/effects-of-vitamin-d-on-covid-19-infection-and-prognosis-a-systematic--peer-reviewed-fulltext-article-RMHP|
|2021-01-08-nutrients_nu13010180.md|https://www.mdpi.com/2072-6643/13/1/180/htm|
|2021-01-15-frontiers-in-psychology_fpsyg.2020.624567.md|https://www.frontiersin.org/articles/10.3389/fpsyg.2020.624567/full|
|2021-01-16-international-journal-of-environmental-research-and-public-health_ijerph18020740.md|https://www.mdpi.com/1660-4601/18/2/740/htm|
|2021-01-19-bmj-global-health_bmjgh-2020-003176.md|https://gh.bmj.com/content/6/1/e003176|
|2021-01-19-journal-of-leukocyte-biology_JLB.4COVR1020-698R.md|https://jlb.onlinelibrary.wiley.com/doi/10.1002/JLB.4COVR1020-698R|
|2021-01-19-the-lancet_j.eclinm.2020.100720.md|https://www.thelancet.com/journals/eclinm/article/PIIS2589-5370(20)30464-8/fulltext|
|2021-01-20-communication-biology_s42003-020-01577-x.md|https://www.nature.com/articles/s42003-020-01577-x|
|2021-01-26-acs_acssensors.0c02544.md|https://pubs.acs.org/doi/10.1021/acssensors.0c02544|
|2021-01-27-kardiologiia_cardio.2020.11.n1440.md|https://covid-19.cochrane.org/studies/crs-16367311|
|2021-01-28-nutrients_nu13020411.md|https://www.mdpi.com/2072-6643/13/2/411/htm|
|2021-02-01-bmj-open-sport-and-exercise-medicine_bmjsem-2020-000960.md|https://bmjopensem.bmj.com/content/7/1/e000960|
|2021-02-02-beni-suef-university-journal-of-basic-and-applied-sciences_s43088-021-00123-w.md|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8127438/|
|2021-02-09-nutrients_nu13020562.md|https://www.mdpi.com/2072-6643/13/2/562/htm|
|2021-02-15-actualites-pharmaceutiques_j.actpha.2021.02.012.md|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7883732/|
|2021-02-15-italian-journal-of-pediatrics_s13052-021-00990-0.md|https://ijponline.biomedcentral.com/articles/10.1186/s13052-021-00990-0|
|2021-02-18-molecular-and-cellular-biochemistry_s11010-021-04093-6.md|https://link.springer.com/article/10.1007%2Fs11010-021-04093-6|
|2021-02-22-fmolb_fmolb.2021.632290.md|https://www.frontiersin.org/articles/10.3389/fmolb.2021.632290/full|
|2021-02-26-international-journal-of-obesity_s41366-021-00776-8.md|https://www.nature.com/articles/s41366-021-00776-8|
|2021-03-01-international-journal-of-infectious-diseases_j.ijid.2020.12.077.md|https://www.ijidonline.com/article/S1201-9712(20)32600-X/fulltext|
